datetime,gpsdate,dN,dE,dU,sN,sE,sU
2010.53425,2010-07-14,-91.4190,250.8610,0.8710,1.8790,1.7770,8.8190
2010.53699,2010-07-15,-93.5070,252.5990,8.1870,1.9500,1.7180,8.6590
2010.53973,2010-07-16,-95.9700,254.4480,-12.5860,1.9710,1.8310,9.1070
2010.54247,2010-07-17,-99.7950,250.8800,-7.7460,1.8530,1.8040,8.8970
2010.54521,2010-07-18,-94.5660,246.7520,-4.1820,1.9430,1.8560,9.1220
2010.54795,2010-07-19,-94.3280,251.3780,9.3480,1.8880,1.7860,8.8480
2010.55068,2010-07-20,-95.9670,253.7130,7.5820,1.8760,1.7400,8.5370
2010.55342,2010-07-21,-95.9030,257.7680,13.2030,1.9620,1.8630,9.2200
2010.55616,2010-07-22,-99.5660,252.3800,-15.9680,1.8810,1.8360,9.2760
2010.55890,2010-07-23,-100.9530,253.2420,5.8930,1.9350,1.8520,9.1530
2010.56164,2010-07-24,-98.8710,255.3730,7.0600,1.8100,1.7740,8.8280
2010.56438,2010-07-25,-95.8080,252.7140,11.0770,1.7880,1.7280,8.6420
2010.56712,2010-07-26,-93.5360,256.6680,26.3330,1.8770,1.8080,9.3110
2010.56986,2010-07-27,-97.1210,255.5120,20.9080,2.1330,1.8870,9.5590
2010.57260,2010-07-28,-104.4240,255.5050,-0.5910,1.8230,1.6830,8.3850
2010.57534,2010-07-29,-101.2860,255.8990,11.0890,1.8990,1.8330,9.1440
2010.57808,2010-07-30,-100.6990,255.6290,10.0120,1.8430,1.7970,8.8820
2010.58082,2010-07-31,-103.8640,255.2080,-0.9420,1.9610,1.8480,9.2070
2010.58356,2010-08-01,-103.1830,255.1640,-8.1760,1.9600,1.8850,9.6890
2010.58630,2010-08-02,-98.6340,255.6450,7.7020,1.9030,1.8550,9.2840
2010.58904,2010-08-03,-101.8720,257.9910,20.5130,1.9710,1.9060,9.6700
2010.59178,2010-08-04,-100.7190,258.3580,23.2110,1.8530,1.7610,9.0210
2010.59452,2010-08-05,-102.9100,257.8340,-6.1400,1.8730,1.7990,9.0060
2010.59726,2010-08-06,-100.2620,258.3680,25.1210,1.9510,1.8790,9.2920
2010.60000,2010-08-07,-99.3290,258.5790,21.7780,1.9310,1.8440,9.3760
