datetime,gpsdate,dN,dE,dU,sN,sE,sU
2010.89315,2010-11-22,-51.4260,113.7640,-169.6570,0.8800,0.9710,3.9720
2010.89589,2010-11-23,-51.3350,114.1450,-170.1080,0.8380,0.9270,3.7840
2010.89863,2010-11-24,-51.5370,113.8110,-177.1770,0.8480,0.9450,3.8450
2010.90137,2010-11-25,-51.6450,115.6140,-181.0840,0.8530,0.9690,3.9440
2010.90411,2010-11-26,-50.8840,114.8920,-171.6580,0.8540,0.9460,3.8660
2010.90685,2010-11-27,-50.9790,113.1120,-175.9320,0.8560,0.9610,3.8820
2010.90959,2010-11-28,-51.2090,113.2330,-173.4020,0.8450,0.9380,3.8000
2010.91233,2010-11-29,-53.2040,115.2700,-177.1420,0.8600,0.9520,3.9120
2010.91507,2010-11-30,-53.4810,115.7270,-179.8130,0.8450,0.9530,3.8390
2010.91781,2010-12-01,-53.1850,116.4920,-175.1360,0.8550,0.9470,3.8680
2010.92055,2010-12-02,-53.2200,115.7320,-170.8750,0.8540,0.9570,3.9250
2010.92329,2010-12-03,-52.5870,113.9160,-167.8230,0.8600,0.9510,3.9250
