date,86.914,86.914_trend,86.914_0.5yr,86.914_1yr,86.914_12.87yr,86.914_jump,86.914_exp,86.914_model,86.914_noise,86.914_wtest,flagged
2015-10-13,-42.000000,-27.988106,-1.219271,1.216460,-0.933153,1.010149,-17.164361,-45.078282,3.078282,1.026094,False
2015-11-10,-44.000000,-28.114379,-0.715177,1.575867,-0.897464,1.010149,-17.171661,-44.312665,0.312665,0.104222,False
2015-12-16,-42.000000,-28.276729,0.701373,1.508195,-0.849736,1.010149,-17.178256,-43.085004,1.085004,0.361668,False
2016-01-11,-45.000000,-28.393859,1.217027,1.100799,-0.814072,1.010149,-17.181617,-43.061572,-1.938428,-0.646143,False
2016-02-23,-48.000000,-28.587247,0.192194,0.011726,-0.753059,1.010149,-17.185424,-45.311661,-2.688339,-0.896113,False
2016-03-14,-48.000000,-28.677195,-0.614849,-0.535285,-0.723825,1.010149,-17.186664,-46.727668,-1.272332,-0.424111,False
2016-04-19,-47.000000,-28.839102,-1.196712,-1.324015,-0.669920,1.010149,-17.188307,-48.207907,1.207907,0.402636,False
2016-05-01,-51.040932,-28.893071,-1.002578,-1.488005,-0.651602,1.010149,-17.188725,-48.213832,-2.827101,-0.942367,False
2016-06-15,-48.000000,-29.095454,0.668249,-1.517830,-0.581461,1.010149,-17.189877,-46.706224,-1.293776,-0.431259,False
2016-07-06,-48.000000,-29.189900,1.175380,-1.217583,-0.547996,1.010149,-17.190248,-45.960198,-2.039802,-0.679934,False
2016-08-15,-48.000000,-29.369796,0.549328,-0.261334,-0.483087,1.010149,-17.190754,-45.745494,-2.254506,-0.751502,False
2016-08-16,-48.567971,-29.374293,0.511628,-0.233800,-0.481446,1.010149,-17.190764,-45.758525,-2.809447,-0.936482,False
2016-09-23,-47.000000,-29.545195,-0.933499,0.789148,-0.418475,1.010149,-17.191072,-46.288943,-0.711057,-0.237019,False
2016-10-12,-45.000000,-29.630645,-1.218183,1.201950,-0.386576,1.010149,-17.191184,-46.214489,1.214489,0.404830,False
